,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
27,"RT @Vic_87: Thank you @Uverse @DIRECTV for wasting our time and day! Two weeks now waiting for installation, you're tech shows up to the wr…",FALSE,0,NA,10/16/2016 9:36,FALSE,NA,7.87588E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",charizarde7,4,TRUE,FALSE,NA,NA
28,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/16/2016 3:04,FALSE,NA,7.87489E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",denise_yorty,14,TRUE,FALSE,NA,NA
29,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/16/2016 1:35,FALSE,NA,7.87467E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mf711766,14,TRUE,FALSE,NA,NA
30,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/16/2016 1:14,FALSE,NA,7.87462E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",jenwatchesTV,14,TRUE,FALSE,NA,NA
31,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/16/2016 1:07,FALSE,NA,7.8746E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",meeker_lori,14,TRUE,FALSE,NA,NA
32,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/15/2016 23:56,FALSE,NA,7.87442E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",carol7375881,14,TRUE,FALSE,NA,NA
33,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/15/2016 23:36,FALSE,NA,7.87437E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",a_panucci,14,TRUE,FALSE,NA,NA
34,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/15/2016 21:31,FALSE,NA,7.87406E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Loistroutman,14,TRUE,FALSE,NA,NA
35,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/15/2016 21:03,FALSE,NA,7.87399E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NER_TeamAirport,14,TRUE,FALSE,NA,NA
36,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/15/2016 20:48,FALSE,NA,7.87395E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",VIPMediaEvent,14,TRUE,FALSE,NA,NA
37,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/15/2016 18:19,FALSE,NA,7.87357E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Bart_Fisher,14,TRUE,FALSE,NA,NA
38,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/15/2016 18:07,FALSE,NA,7.87354E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",StephanieHurt4,14,TRUE,FALSE,NA,NA
39,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/15/2016 18:02,FALSE,NA,7.87353E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TenganD,14,TRUE,FALSE,NA,NA
