,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
20,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 5:40,FALSE,NA,7.87891E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",the_nathanbryan,20,TRUE,FALSE,NA,NA
21,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 5:30,FALSE,NA,7.87889E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",QutellSharzeia,20,TRUE,FALSE,NA,NA
22,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 5:05,FALSE,NA,7.87882E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",davidcacholaa,20,TRUE,FALSE,NA,NA
23,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 2:49,FALSE,NA,7.87848E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",canadaCote,20,TRUE,FALSE,NA,NA
24,Swear I use to hate DIRECTV but it's the GOAT now.<ed><U+00A0><U+00BD><ed><U+00B0><U+0090> @DIRECTV,FALSE,0,NA,10/17/2016 2:38,FALSE,NA,7.87845E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CountUpLoso,0,FALSE,FALSE,NA,NA
25,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 2:37,FALSE,NA,7.87845E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",All_ViewzMag,20,TRUE,FALSE,NA,NA
26,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 2:20,FALSE,NA,7.87841E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Zachery16041381,20,TRUE,FALSE,NA,NA
27,Middle of the @Cubs game and @DIRECTV goes out to perform an update. Great.....,FALSE,0,NA,10/17/2016 2:18,FALSE,NA,7.8784E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SeanGlovier,0,FALSE,FALSE,NA,NA
28,Hey @DIRECTV why does my screen just freeze all the time.  I've got to switch channel up or down to correct.,FALSE,0,NA,10/17/2016 2:00,FALSE,NA,7.87836E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",jj44jj,0,FALSE,FALSE,NA,NA
29,RT @ATT: We're taking #FootballEverywhere all the way to the end zone with @DIRECTV and @SamsungMobileUS! https://t.co/FVzPYfxsuJ,FALSE,0,NA,10/17/2016 1:56,FALSE,NA,7.87835E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",elbuto,20,TRUE,FALSE,NA,NA
