,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
920,"RT @ATT: To help cust. impacted by #HurricaneMatthew, we're waiving data overages in GA + FL (10/6-11) and NC + SC (10/7-11): https://t.co/…",FALSE,0,NA,10/13/2016 9:26,FALSE,NA,7.86E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hella0livia,126,TRUE,FALSE,NA,NA
921,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,FALSE,0,NA,10/13/2016 8:49,FALSE,NA,7.86E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Meryemsirin133,6312,TRUE,FALSE,NA,NA
922,RT @ATT: It’s here! Get a sweet deal on the new iPhone 7 when you switch to AT&amp;T and have DIRECTV. https://t.co/xJbyqHjhMV https://t.co/3Wf…,FALSE,0,NA,10/13/2016 8:45,FALSE,NA,7.86E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BryanSimbafo,117,TRUE,FALSE,NA,NA
923,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,FALSE,0,NA,10/13/2016 8:44,FALSE,NA,7.86E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",IamAmanTiwari,6312,TRUE,FALSE,NA,NA
924,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,FALSE,0,NA,10/13/2016 8:13,FALSE,NA,7.86E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",factkscomforta1,6312,TRUE,FALSE,NA,NA
925,RT @ATT: It’s here! Get a sweet deal on the new iPhone 7 when you switch to AT&amp;T and have DIRECTV. https://t.co/xJbyqHjhMV https://t.co/3Wf…,FALSE,0,NA,10/13/2016 8:02,FALSE,NA,7.86E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SWEETmawdusa,117,TRUE,FALSE,NA,NA
926,RT @ATT: It’s here! Get a sweet deal on the new iPhone 7 when you switch to AT&amp;T and have DIRECTV. https://t.co/xJbyqHjhMV https://t.co/3Wf…,FALSE,0,NA,10/13/2016 7:27,FALSE,NA,7.86E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",puretimesmag,117,TRUE,FALSE,NA,NA
927,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,FALSE,0,NA,10/13/2016 7:23,FALSE,NA,7.86E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KaySwag20,6312,TRUE,FALSE,NA,NA
928,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,FALSE,0,NA,10/13/2016 7:09,FALSE,NA,7.86E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",chacuria,6312,TRUE,FALSE,NA,NA
929,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,FALSE,0,NA,10/13/2016 6:48,FALSE,NA,7.86E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",SherryCross94,6312,TRUE,FALSE,NA,NA
